academie,ips_moyen,nombre_colleges
Aix-Marseille,101.8,280
Amiens,96.8,217
Besançon,101.7,143
Bordeaux,106.3,350
Clermont-Ferrand,103.6,187
Corse,100.3,31
Créteil,101.0,432
Dijon,101.6,182
Grenoble,108.9,327
Guadeloupe,89.3,52
Guyane,73.6,37
La Réunion,85.0,87
Lille,95.5,439
Limoges,102.5,87
Lyon,105.4,312
Martinique,90.0,50
Mayotte,69.8,22
Montpellier,101.2,260
Nancy-Metz,98.8,255
Nantes,105.5,416
Nice,106.0,177
NORMANDIE,100.3,389
Orléans-Tours,102.4,286
Paris,121.8,178
Poitiers,102.3,201
Reims,97.8,160
Rennes,105.9,385
Strasbourg,104.1,171
Toulouse,107.5,320
Versailles,114.0,529